symboling,normalized_losses,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,Car_Price_category,num_of_doors_new,drive_wheel_new,engine_location_new,bore_new,stroke_new,horsepower_new,peak_rpm_new
-1,74,plymouth,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,24,30,Lowprice,four,fwd,front,3.35,3.46,88,5000
-1,74,volvo,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3034,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,Lowprice,four,rwd,front,3.78,3.15,114,5400
-1,74,volvo,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3042,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,24,28,Lowprice,four,rwd,front,3.78,3.15,114,5400
-1,74,volvo,gas,turbo,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3157,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100,17,22,Highprice,four,rwd,front,3.62,3.15,162,5100
-1,90,toyota,gas,std,four,sedan,rwd,front,104.5,187.8,66.5,54.1,3131,dohc,six,171,mpfi,3.27,3.35,9.2,156,5200,20,24,Lowprice,four,rwd,front,3.27,3.35,156,5200
-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110,190.9,70.3,56.5,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,Highprice,four,rwd,front,3.58,3.64,123,4350
-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,Highprice,four,rwd,front,3.58,3.64,123,4350
-1,93,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110,190.9,70.3,58.7,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,Highprice,four,rwd,front,3.58,3.64,123,4350
-1,95,volvo,diesel,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3217,ohc,six,145,idi,3.01,3.4,23,106,4800,26,27,Highprice,four,rwd,front,3.01,3.4,106,4800
-1,95,volvo,gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,2952,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,Lowprice,four,rwd,front,3.78,3.15,114,5400
-1,95,volvo,gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3012,ohcv,six,173,mpfi,3.58,2.87,8.8,134,5500,18,23,Highprice,four,rwd,front,3.58,2.87,134,5500
-1,95,volvo,gas,turbo,four,sedan,rwd,front,109.1,188.8,68.8,55.5,3049,ohc,four,141,mpfi,3.78,3.15,8.7,160,5300,19,25,Highprice,four,rwd,front,3.78,3.15,160,5300
-1,95,volvo,gas,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3062,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,19,25,Highprice,four,rwd,front,3.78,3.15,114,5400
-1,110,dodge,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,24,30,Lowprice,four,fwd,front,3.34,3.46,88,5000
-1,137,mitsubishi,gas,std,four,sedan,fwd,,96.3,172.4,65.4,49.4,2370,ohc,four,110,spdi,3.17,3.46,7.5,89,5154,20,26,Lowprice,four,fwd,front,3.17,3.46,89,5154
-1,137,mitsubishi,gas,std,four,sedan,fwd,,96.3,172.4,65.4,49.4,2370,ohc,four,110,spdi,3.17,3.46,7.5,112,5079,25,32,Lowprice,four,fwd,front,3.17,3.46,112,5079
-1,137,mitsubishi,gas,std,four,sedan,fwd,front,50,172.4,65.4,50.2,2818,ohc,four,156,spdi,3.59,3.86,7,107,5073,23,24,Lowprice,four,fwd,front,3.59,3.86,107,5073
-1,137,mitsubishi,gas,std,four,sedan,fwd,front,50,172.4,65.4,50.2,2818,ohc,four,156,spdi,3.59,3.86,7,136,5050,22,26,Lowprice,four,fwd,front,3.59,3.86,136,5050
-1,137,mitsubishi,gas,std,four,sedan,fwd,front,95.9,173.2,66.3,49.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,111,5172,20,30,Lowprice,four,fwd,front,3.35,3.46,111,5172
-1,137,mitsubishi,gas,std,four,sedan,fwd,front,95.9,173.2,66.3,49.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,136,5004,19,30,Lowprice,four,fwd,front,3.35,3.46,136,5004
-1,137,mitsubishi,gas,std,four,sedan,fwd,front,95.9,173.2,66.3,50.2,2811,ohc,four,156,mfi,3.6,3.9,7,100,5149,24,30,Lowprice,four,fwd,front,3.6,3.9,100,5149
-1,137,mitsubishi,gas,std,four,sedan,fwd,front,95.9,173.2,66.3,50.2,2811,ohc,four,156,mfi,3.6,3.9,7,121,5136,22,32,Lowprice,four,fwd,front,3.6,3.9,121,5136
-1,137,mitsubishi,gas,std,four,sedan,fwd,front,95.9,173.2,66.3,50.2,2818,ohc,four,156,spdi,3.59,3.86,7,99,5261,20,24,Lowprice,four,fwd,front,3.59,3.86,99,5261
-1,137,mitsubishi,gas,std,four,sedan,fwd,front,95.9,173.2,66.3,50.2,2818,ohc,four,156,spdi,3.59,3.86,7,125,5313,24,26,Lowprice,four,fwd,front,3.59,3.86,125,5313
-1,137,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.4,2734,ohc,four,119,spfi,3.43,3.23,9.2,105,5383,24,28,Lowprice,four,fwd,front,3.43,3.23,105,5383
-1,137,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.4,2734,ohc,four,119,spfi,3.43,3.23,9.2,128,5027,19,26,Lowprice,four,fwd,front,3.43,3.23,128,5027
-1,137,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,97,5176,19,29,Lowprice,four,fwd,front,3.17,3.46,97,5176
-1,137,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,103,5354,24,27,Lowprice,four,fwd,front,3.17,3.46,103,5354
-1,137,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,Lowprice,four,fwd,front,3.17,3.46,116,5500
0,,audi,gas,turbo,two,hatchback,4wd,front,99.5,178.2,67.9,52,3053,ohc,five,131,mpfi,3.13,3.4,7,160,5500,16,22,Highprice,two,fwd,front,3.13,3.4,160,5500
0,,bmw,gas,std,four,sedan,rwd,front,103.5,189,66.9,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,Highprice,four,rwd,front,3.62,3.39,182,5400
0,,bmw,gas,std,four,sedan,rwd,front,110,197,70.9,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8,182,5400,15,20,Highprice,four,rwd,front,3.62,3.39,182,5400
0,,bmw,gas,std,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,Highprice,two,rwd,front,3.62,3.39,182,5400
0,,isuzu,gas,std,four,sedan,fwd,front,94.5,155.9,63.6,52,1909,ohc,four,90,2bbl,3.03,3.11,9.2,68,5267,30,42,Lowprice,four,fwd,front,3.03,3.11,68,5267
0,,isuzu,gas,std,four,sedan,fwd,front,94.5,155.9,63.6,52,1909,ohc,four,90,2bbl,3.03,3.11,9.2,69,5028,35,38,Lowprice,four,fwd,front,3.03,3.11,69,5028
0,,isuzu,gas,std,four,sedan,fwd,front,94.5,155.9,63.6,52,1909,ohc,four,90,2bbl,3.03,3.11,9.2,69,5292,33,42,Lowprice,four,fwd,front,3.03,3.11,69,5292
0,,isuzu,gas,std,four,sedan,fwd,front,94.5,155.9,63.6,52,1909,ohc,four,90,2bbl,3.03,3.11,9.2,70,5368,33,40,Lowprice,four,fwd,front,3.03,3.11,70,5368
0,,isuzu,gas,std,four,sedan,fwd,front,94.5,155.9,63.6,52,1909,ohc,four,90,2bbl,3.03,3.11,9.4,69,5019,37,38,Lowprice,four,fwd,front,3.03,3.11,69,5019
0,,isuzu,gas,std,four,sedan,fwd,front,94.5,155.9,63.6,52,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,Highprice,four,fwd,front,3.03,3.11,70,5400
0,,isuzu,gas,std,four,sedan,fwd,front,94.5,155.9,63.6,52,1909,ohc,four,90,2bbl,3.03,3.15,9.4,68,5022,36,43,Lowprice,four,fwd,front,3.03,3.15,68,5022
0,,isuzu,gas,std,four,sedan,fwd,front,94.5,155.9,63.6,52,1909,ohc,four,90,2bbl,3.03,3.15,9.4,68,5209,36,40,Lowprice,four,fwd,front,3.03,3.15,68,5209
0,,isuzu,gas,std,four,sedan,fwd,front,94.5,155.9,63.6,52,1909,ohc,four,90,2bbl,3.03,3.15,9.4,70,5094,34,40,Lowprice,four,fwd,front,3.03,3.15,70,5094
0,,isuzu,gas,std,four,sedan,fwd,front,94.5,155.9,63.6,52,1909,ohc,four,90,2bbl,3.03,3.15,9.4,70,5183,37,43,Lowprice,four,fwd,front,3.03,3.15,70,5183
0,,isuzu,gas,std,four,sedan,fwd,front,94.5,155.9,63.6,52,1909,ohc,four,90,2bbl,3.03,3.15,9.5,69,5282,37,42,Lowprice,four,fwd,front,3.03,3.15,69,5282
0,,isuzu,gas,std,four,sedan,fwd,front,94.5,358,63.6,52,1909,ohc,four,90,2bbl,3.03,3.11,9.2,68,5127,38,43,Lowprice,four,fwd,front,3.03,3.11,68,5127
0,,isuzu,gas,std,four,sedan,fwd,front,94.5,694,63.6,52,1909,ohc,four,90,2bbl,3.03,3.11,9.2,69,5247,33,39,Lowprice,four,fwd,front,3.03,3.11,69,5247
0,,isuzu,gas,std,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800,24,29,Lowprice,four,rwd,front,3.31,3.23,78,4800
0,,jaguar,gas,std,four,sedan,rwd,front,113,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,Highprice,four,rwd,front,3.63,4.17,176,4750
0,,jaguar,gas,std,two,sedan,rwd,front,102,191.7,70.6,47.8,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000,13,17,Highprice,two,rwd,front,3.54,2.76,262,5000
0,,mazda,diesel,std,?,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650,36,42,Lowprice,two,fwd,front,3.39,3.39,64,4650
0,,mazda,diesel,std,four,sedan,rwd,front,104.9,175,66.1,54.4,2700,ohc,four,134,idi,3.43,3.64,22,72,4200,31,39,Highprice,four,rwd,front,3.43,3.64,72,4200
0,,mercedes-benz,gas,std,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,ohcv,eight,308,mpfi,3.8,3.35,8,184,4500,14,16,Highprice,four,rwd,front,3.8,3.35,184,4500
0,,peugot,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3430,l,four,152,idi,3.7,3.52,21,95,4150,25,25,Lowprice,four,rwd,front,3.7,3.52,95,4150
0,,peugot,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,l,four,152,idi,3.7,3.52,21,95,4150,25,25,Lowprice,four,rwd,front,3.7,3.52,95,4150
0,,peugot,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,56.7,3285,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,Lowprice,four,rwd,front,3.46,2.19,95,5000
0,,peugot,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3230,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,Lowprice,four,rwd,front,3.46,3.19,97,5000
0,,renault,gas,std,four,wagon,fwd,front,96.1,181.5,66.5,55.2,2579,ohc,four,132,mpfi,3.46,3.9,8.7,,,23,31,Lowprice,four,fwd,front,3.46,3.9,101,5178
0,,volkswagen,diesel,turbo,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2579,ohc,four,97,idi,3.01,3.4,23,68,4500,33,38,Lowprice,four,fwd,front,3.01,3.4,68,4500
0,,volkswagen,gas,std,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2661,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,24,Lowprice,four,fwd,front,3.19,3.4,110,5500
0,,volkswagen,gas,std,four,wagon,fwd,front,100.4,183.1,66.9,55.1,2563,ohc,four,109,mpfi,3.19,3.4,9,88,5500,25,31,Lowprice,four,fwd,front,3.19,3.4,88,5500
0,77,toyota,gas,std,four,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,ohc,four,92,2bbl,3.05,3.03,9,62,4800,31,37,Lowprice,four,fwd,front,3.05,3.03,62,4800
0,78,honda,gas,std,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,30,34,Lowprice,four,fwd,front,2.92,3.41,76,6000
0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52,1909,ohc,four,90,2bbl,3.03,3.11,9.2,68,5283,36,40,Lowprice,four,fwd,front,3.03,3.11,68,5283
0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52,1909,ohc,four,90,2bbl,3.03,3.11,9.2,69,5064,34,43,Lowprice,four,fwd,front,3.03,3.11,69,5064
0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52,1909,ohc,four,90,2bbl,3.03,3.11,9.2,69,5142,34,38,Lowprice,four,fwd,front,3.03,3.11,69,5142
0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52,1909,ohc,four,90,2bbl,3.03,3.11,9.2,69,5154,33,39,Lowprice,four,fwd,front,3.03,3.11,69,5154
0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52,1909,ohc,four,90,2bbl,3.03,3.11,9.2,70,5171,33,42,Lowprice,four,fwd,front,3.03,3.11,70,5171
0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52,1909,ohc,four,90,2bbl,3.03,3.11,9.4,69,5304,36,42,Lowprice,four,fwd,front,3.03,3.11,69,5304
0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,Lowprice,four,fwd,front,3.03,3.11,70,5400
0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52,1909,ohc,four,90,2bbl,3.03,3.15,9.4,68,5278,33,42,Lowprice,four,fwd,front,3.03,3.15,68,5278
0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52,1909,ohc,four,90,2bbl,3.03,3.15,9.4,69,5017,35,42,Lowprice,four,fwd,front,3.03,3.15,69,5017
0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52,1909,ohc,four,90,2bbl,3.03,3.15,9.4,69,5101,38,43,Lowprice,four,fwd,front,3.03,3.15,69,5101
0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52,1909,ohc,four,90,2bbl,3.03,3.15,9.4,70,5157,33,42,Lowprice,four,fwd,front,3.03,3.15,70,5157
0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52,1909,ohc,four,90,2bbl,3.03,3.15,9.5,70,5205,33,38,Lowprice,four,fwd,front,3.03,3.15,70,5205
0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,610,63.6,52,1909,ohc,four,90,2bbl,3.03,3.11,9.2,70,5084,34,39,Lowprice,four,fwd,front,3.03,3.11,70,5084
0,81,toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,2290,ohc,four,92,2bbl,3.05,3.03,9,62,4800,27,32,Lowprice,four,fwd,front,3.05,3.03,62,4800
0,85,honda,gas,std,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,Lowprice,four,fwd,front,3.15,3.58,86,5800
0,85,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,Lowprice,four,fwd,front,3.15,3.58,86,5800
0,85,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9,101,5800,24,28,Lowprice,four,fwd,front,3.15,3.58,101,5800
0,85,subaru,gas,std,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2420,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,23,29,Lowprice,four,fwd,front,3.62,2.64,82,4800
0,85,subaru,gas,turbo,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2650,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,23,23,Lowprice,four,fwd,front,3.62,2.64,111,4800
0,89,subaru,gas,std,four,wagon,fwd,front,97,173.5,65.4,53,2290,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,28,32,Lowprice,four,fwd,front,3.62,2.64,82,4800
0,89,subaru,gas,std,four,wagon,fwd,front,97,173.5,65.4,53,2455,ohcf,four,108,mpfi,3.62,2.64,9,94,5200,25,31,Lowprice,four,fwd,front,3.62,2.64,94,5200
0,91,toyota,diesel,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,38,47,Lowprice,four,fwd,front,3.27,3.35,56,4500
0,91,toyota,diesel,std,four,sedan,fwd,front,95.7,166.3,64.4,53,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,34,36,Lowprice,four,fwd,front,3.27,3.35,56,4500
0,91,toyota,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109,ohc,four,98,2bbl,3.19,3.03,9,70,4800,30,37,Lowprice,four,fwd,front,3.19,3.03,70,4800
0,91,toyota,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2122,ohc,four,98,2bbl,3.19,3.03,9,70,4800,28,34,Lowprice,four,fwd,front,3.19,3.03,70,4800
0,91,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,52.8,2140,ohc,four,98,2bbl,3.19,3.03,9,70,4800,28,34,Lowprice,four,fwd,front,3.19,3.03,70,4800
0,91,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53,2081,ohc,four,98,2bbl,3.19,3.03,9,70,4800,30,37,Lowprice,four,fwd,front,3.19,3.03,70,4800
0,91,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53,2094,ohc,four,98,2bbl,3.19,3.03,9,70,4800,38,47,Lowprice,four,fwd,front,3.19,3.03,70,4800
0,91,toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,3110,ohc,four,92,2bbl,3.05,3.03,9,62,4800,27,32,Lowprice,four,fwd,front,3.05,3.03,62,4800
0,93,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,Highprice,two,rwd,front,3.58,3.64,123,4350
0,102,subaru,gas,std,four,sedan,4wd,front,97,172,65.4,54.3,2385,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,24,25,Lowprice,four,fwd,front,3.62,2.64,82,4800
0,102,subaru,gas,std,four,sedan,fwd,front,97.2,172,65.4,52.5,2145,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4800,32,37,Lowprice,four,fwd,front,3.62,2.64,82,4800
0,102,subaru,gas,std,four,sedan,fwd,front,97.2,172,65.4,52.5,2190,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4400,28,33,Lowprice,four,fwd,front,3.62,2.64,82,4400
0,102,subaru,gas,std,four,sedan,fwd,front,97.2,172,65.4,52.5,2340,ohcf,four,108,mpfi,3.62,2.64,9,94,5200,26,32,Lowprice,four,fwd,front,3.62,2.64,94,5200
0,102,subaru,gas,turbo,four,sedan,4wd,front,97,172,65.4,54.3,2510,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,24,29,Lowprice,four,fwd,front,3.62,2.64,111,4800
0,106,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,Lowprice,two,fwd,front,3.15,3.58,86,5800
0,106,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,Lowprice,two,fwd,front,3.15,3.58,86,5800
0,106,nissan,gas,std,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,Lowprice,four,fwd,front,3.33,3.47,97,5200
0,106,nissan,gas,std,four,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,Lowprice,four,fwd,front,3.33,3.47,97,5200
0,108,nissan,gas,std,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,19,25,Lowprice,four,fwd,front,3.43,3.27,152,5200
0,108,nissan,gas,std,four,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,17,22,Lowprice,four,fwd,front,3.43,3.27,152,5200
0,110,honda,gas,std,four,sedan,fwd,front,96.5,163.4,64,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,Lowprice,four,fwd,front,2.91,3.41,76,6000
0,115,mazda,gas,std,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,Lowprice,four,fwd,front,3.39,3.39,84,4800
0,115,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,Lowprice,four,fwd,front,3.39,3.39,84,4800
0,118,mazda,gas,std,four,sedan,rwd,front,104.9,175,66.1,54.4,2670,ohc,four,140,mpfi,3.76,3.16,8,120,5000,19,27,Highprice,four,rwd,front,3.76,3.16,120,5000
0,128,nissan,gas,std,four,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,17,22,Lowprice,four,fwd,front,3.43,3.27,152,5200
0,145,jaguar,gas,std,four,sedan,rwd,front,113,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,Highprice,four,rwd,front,3.63,4.17,176,4750
0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,l,four,152,idi,3.7,3.52,21,95,4150,28,33,Lowprice,four,rwd,front,3.7,3.52,95,4150
0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152,idi,3.7,3.52,21,95,4150,28,33,Lowprice,four,rwd,front,3.7,3.52,95,4150
0,161,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,Lowprice,four,rwd,front,3.46,3.19,97,5000
0,161,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,Lowprice,four,rwd,front,3.46,2.19,95,5000
0,161,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,Lowprice,four,rwd,front,3.46,3.19,97,5000
0,161,peugot,gas,turbo,four,sedan,rwd,front,108,186.7,68.3,56,3130,l,four,134,mpfi,3.61,3.21,7,142,5600,18,24,Highprice,four,rwd,front,3.61,3.21,142,5600
0,188,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,Highprice,four,rwd,front,3.31,3.19,121,4250
0,188,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,Highprice,two,rwd,front,3.31,3.19,121,4250
0,192,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,Lowprice,four,rwd,front,3.5,2.8,101,5800
1,,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9,154,5000,19,26,Lowprice,two,rwd,front,2.68,3.47,154,5000
1,,audi,gas,std,four,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,Highprice,four,fwd,front,3.19,3.4,110,5500
